,Value
462,29.0
463,26.0
464,30.0
465,27.0
466,33.0
467,39.0
468,42.0
469,44.0
470,44.0
471,51.0
472,54.0
473,62.0
474,52.0
475,53.0
476,56.0
477,48.0
478,43.0
479,45.0
480,51.0
481,56.0
482,53.0
483,50.0
484,48.0
485,65.0
486,103.0
487,190.0
488,338.0
489,220.0
490,187.0
491,133.0
492,147.0
493,137.0
494,132.0
495,126.0
496,110.0
497,104.0
498,89.0
499,82.0
500,81.0
501,90.0
502,93.0
503,90.0
504,111.0
505,132.0
506,129.0
507,123.0
508,106.0
509,114.0
510,100.0
511,115.0
512,115.0
513,114.0
514,128.0
515,152.0
516,144.0
517,128.0
518,145.0
519,132.0
520,105.0
521,101.0
522,104.0
523,113.0
524,112.0
525,126.0
526,131.0
527,147.0
528,161.0
529,174.0
530,175.0
531,176.0
532,186.0
533,188.0
534,182.0
535,171.0
536,183.0
537,180.0
538,150.0
539,131.0
540,130.0
541,142.0
542,132.0
543,135.0
544,139.0
545,144.0
546,142.0
547,146.0
548,155.0
549,168.0
550,175.0
551,189.0
552,203.0
553,193.0
554,185.0
555,180.0
556,176.0
557,170.0
558,174.0
559,172.0
560,180.0
561,201.0
562,215.0
563,198.0
564,223.0
565,244.0
566,302.0
567,215.0
568,223.0
569,225.0
570,200.0
571,206.0
572,222.0
573,228.0
574,236.0
575,231.0
576,227.0
577,225.0
578,186.0
579,173.0
580,177.0
581,234.0
582,237.0
583,238.0
584,225.0
585,236.0
586,204.0
587,185.0
588,133.0
589,161.0
590,138.0
591,121.0
592,134.0
593,165.0
594,131.0
595,119.0
596,134.0
597,153.0
598,159.0
599,155.0
600,143.0
601,134.0
602,124.0
603,118.0
604,120.0
605,115.0
606,122.0
607,119.0
608,122.0
609,162.0
610,177.0
611,181.0
612,179.0
613,166.0
614,134.0
615,149.0
616,147.0
617,197.0
618,217.0
619,210.0
620,139.0
621,101.0
622,72.0
623,71.0
624,62.0
625,53.0
626,45.0
627,40.0
628,40.0
629,39.0
630,39.0
631,43.0
632,39.0
633,29.0
634,31.0
635,33.0
636,35.0
637,37.0
638,39.0
639,41.0
640,43.0
641,45.0
642,44.0
643,46.0
644,37.0
645,29.0
646,32.0
647,30.0
648,34.0
649,31.0
650,32.0
651,33.0
652,37.0
653,44.0
654,37.0
655,34.0
656,46.0
657,52.0
658,50.0
659,56.0
660,64.0
661,70.0
662,67.0
663,73.0
664,64.0
665,59.0
666,54.0
667,54.0
668,53.0
669,46.0
670,39.0
671,33.0
672,32.0
673,35.0
674,38.0
675,31.0
676,27.0
677,31.0
678,32.0
679,38.0
680,36.0
681,37.0
682,46.0
683,54.0
684,69.0
685,73.0
686,90.0
687,123.0
688,156.0
689,166.0
690,183.0
691,184.0
692,198.0
693,197.0
694,189.0
695,193.0
696,201.0
697,199.0
698,206.0
699,218.0
700,213.0
701,214.0
702,212.0
703,222.0
704,232.0
705,224.0
706,217.0
707,230.0
708,167.0
709,160.0
710,178.0
711,183.0
712,221.0
713,207.0
714,125.0
715,84.0
716,65.0
717,48.0
718,40.0
719,38.0
720,38.0
721,35.0
722,28.0
723,26.0
724,21.0
725,21.0
726,18.0
727,24.0
728,29.0
729,31.0
730,27.0
731,26.0
732,32.0
733,35.0
734,40.0
735,49.0
736,46.0
737,47.0
738,48.0
739,55.0
740,62.0
741,60.0
742,58.0
743,58.0
744,57.0
745,44.0
746,45.0
747,48.0
748,41.0
749,50.0
750,50.0
751,53.0
752,50.0
753,64.0
754,70.0
755,99.0
756,105.0
757,105.0
758,102.0
759,132.0
760,120.0
761,133.0
762,105.0
763,99.0
764,96.0
765,99.0
766,116.0
767,102.0
768,81.0
769,134.0
770,110.0
771,101.0
772,116.0
773,115.0
774,91.0
775,82.0
776,76.0
777,62.0
778,58.0
779,51.0
780,48.0
781,31.0
782,35.0
783,26.0
784,31.0
785,31.0
786,31.0
787,28.0
788,28.0
789,24.0
790,16.0
791,15.0
792,16.0
793,17.0
794,14.0
795,13.0
796,14.0
797,15.0
798,20.0
799,13.0
800,18.0
801,20.0
802,21.0
803,27.0
804,24.0
805,22.0
806,25.0
807,30.0
808,26.0
809,26.0
810,23.0
811,30.0
812,27.0
813,35.0
814,40.0
815,39.0
816,48.0
817,55.0
818,74.0
819,81.0
820,93.0
821,98.0
822,113.0
823,103.0
824,100.0
825,118.0
826,105.0
827,79.0
828,64.0
829,37.0
830,34.0
831,29.0
832,33.0
833,24.0
834,32.0
835,38.0
836,41.0
837,34.0
838,34.0
839,33.0
840,40.0
841,47.0
842,40.0
843,44.0
844,40.0
845,42.0
846,49.0
847,45.0
848,42.0
849,48.0
850,48.0
851,36.0
852,36.0
853,41.0
854,35.0
855,33.0
856,39.0
857,42.0
858,48.0
859,39.0
860,34.0
861,32.0
862,34.0
863,41.0
864,48.0
865,48.0
866,51.0
867,54.0
868,46.0
869,43.0
870,41.0
871,44.0
872,45.0
873,45.0
874,53.0
875,48.0
876,55.0
877,62.0
878,67.0
879,73.0
880,68.0
881,77.0
882,84.0
883,85.0
884,97.0
885,98.0
886,99.0
887,103.0
888,114.0
889,123.0
890,119.0
891,104.0
892,89.0
893,85.0
894,71.0
895,85.0
896,92.0
