Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,QC
Shanghai,PM2.5,2012/1/1 0:00,2012,1,1,0,112,Valid
Shanghai,PM2.5,2012/1/1 1:00,2012,1,1,1,113,Valid
Shanghai,PM2.5,2012/1/1 2:00,2012,1,1,2,115,Valid
Shanghai,PM2.5,2012/1/1 3:00,2012,1,1,3,144,Valid
Shanghai,PM2.5,2012/1/1 4:00,2012,1,1,4,152,Valid
Shanghai,PM2.5,2012/1/1 5:00,2012,1,1,5,138,Valid
Shanghai,PM2.5,2012/1/1 6:00,2012,1,1,6,136,Valid
Shanghai,PM2.5,2012/1/1 7:00,2012,1,1,7,133,Valid
Shanghai,PM2.5,2012/1/1 8:00,2012,1,1,8,134,Valid
Shanghai,PM2.5,2012/1/1 9:00,2012,1,1,9,131,Valid
Shanghai,PM2.5,2012/1/1 10:00,2012,1,1,10,100,Valid
Shanghai,PM2.5,2012/1/1 11:00,2012,1,1,11,98,Valid
Shanghai,PM2.5,2012/1/1 12:00,2012,1,1,12,68,Valid
Shanghai,PM2.5,2012/1/1 13:00,2012,1,1,13,71,Valid
Shanghai,PM2.5,2012/1/1 14:00,2012,1,1,14,78,Valid
Shanghai,PM2.5,2012/1/1 15:00,2012,1,1,15,85,Valid
Shanghai,PM2.5,2012/1/1 16:00,2012,1,1,16,96,Valid
Shanghai,PM2.5,2012/1/1 17:00,2012,1,1,17,143,Valid
Shanghai,PM2.5,2012/1/1 18:00,2012,1,1,18,151,Valid
Shanghai,PM2.5,2012/1/1 19:00,2012,1,1,19,162,Valid
Shanghai,PM2.5,2012/1/1 20:00,2012,1,1,20,113,Valid
Shanghai,PM2.5,2012/1/1 21:00,2012,1,1,21,73,Valid
Shanghai,PM2.5,2012/1/1 22:00,2012,1,1,22,64,Valid
Shanghai,PM2.5,2012/1/1 23:00,2012,1,1,23,57,Valid
Shanghai,PM2.5,2012/1/2 0:00,2012,1,2,0,38,Valid
Shanghai,PM2.5,2012/1/2 1:00,2012,1,2,1,31,Valid
Shanghai,PM2.5,2012/1/2 2:00,2012,1,2,2,39,Valid
Shanghai,PM2.5,2012/1/2 3:00,2012,1,2,3,38,Valid
Shanghai,PM2.5,2012/1/2 4:00,2012,1,2,4,37,Valid
Shanghai,PM2.5,2012/1/2 5:00,2012,1,2,5,44,Valid
Shanghai,PM2.5,2012/1/2 6:00,2012,1,2,6,57,Valid
Shanghai,PM2.5,2012/1/2 7:00,2012,1,2,7,58,Valid
Shanghai,PM2.5,2012/1/2 8:00,2012,1,2,8,68,Valid
Shanghai,PM2.5,2012/1/2 9:00,2012,1,2,9,77,Valid
Shanghai,PM2.5,2012/1/2 10:00,2012,1,2,10,79,Valid
Shanghai,PM2.5,2012/1/2 11:00,2012,1,2,11,55,Valid
Shanghai,PM2.5,2012/1/2 12:00,2012,1,2,12,42,Valid
Shanghai,PM2.5,2012/1/2 13:00,2012,1,2,13,44,Valid
Shanghai,PM2.5,2012/1/2 14:00,2012,1,2,14,48,Valid
Shanghai,PM2.5,2012/1/2 15:00,2012,1,2,15,50,Valid
Shanghai,PM2.5,2012/1/2 16:00,2012,1,2,16,57,Valid
Shanghai,PM2.5,2012/1/2 17:00,2012,1,2,17,65,Valid
Shanghai,PM2.5,2012/1/2 18:00,2012,1,2,18,63,Valid
Shanghai,PM2.5,2012/1/2 19:00,2012,1,2,19,54,Valid
Shanghai,PM2.5,2012/1/2 20:00,2012,1,2,20,44,Valid
Shanghai,PM2.5,2012/1/2 21:00,2012,1,2,21,46,Valid
Shanghai,PM2.5,2012/1/2 22:00,2012,1,2,22,42,Valid
Shanghai,PM2.5,2012/1/2 23:00,2012,1,2,23,39,Valid
Shanghai,PM2.5,2012/1/3 0:00,2012,1,3,0,43,Valid
Shanghai,PM2.5,2012/1/3 1:00,2012,1,3,1,44,Valid
Shanghai,PM2.5,2012/1/3 2:00,2012,1,3,2,39,Valid
Shanghai,PM2.5,2012/1/3 3:00,2012,1,3,3,40,Valid
Shanghai,PM2.5,2012/1/3 4:00,2012,1,3,4,42,Valid
Shanghai,PM2.5,2012/1/3 5:00,2012,1,3,5,38,Valid
Shanghai,PM2.5,2012/1/3 6:00,2012,1,3,6,52,Valid
Shanghai,PM2.5,2012/1/3 7:00,2012,1,3,7,58,Valid
Shanghai,PM2.5,2012/1/3 8:00,2012,1,3,8,54,Valid
Shanghai,PM2.5,2012/1/3 9:00,2012,1,3,9,62,Valid
Shanghai,PM2.5,2012/1/3 10:00,2012,1,3,10,69,Valid
Shanghai,PM2.5,2012/1/3 11:00,2012,1,3,11,85,Valid
Shanghai,PM2.5,2012/1/3 12:00,2012,1,3,12,124,Valid
Shanghai,PM2.5,2012/1/3 13:00,2012,1,3,13,144,Valid
Shanghai,PM2.5,2012/1/3 14:00,2012,1,3,14,219,Valid
Shanghai,PM2.5,2012/1/3 15:00,2012,1,3,15,194,Valid
Shanghai,PM2.5,2012/1/3 16:00,2012,1,3,16,123,Valid
Shanghai,PM2.5,2012/1/3 17:00,2012,1,3,17,86,Valid
Shanghai,PM2.5,2012/1/3 18:00,2012,1,3,18,85,Valid
Shanghai,PM2.5,2012/1/3 19:00,2012,1,3,19,63,Valid
Shanghai,PM2.5,2012/1/3 20:00,2012,1,3,20,58,Valid
Shanghai,PM2.5,2012/1/3 21:00,2012,1,3,21,64,Valid
Shanghai,PM2.5,2012/1/3 22:00,2012,1,3,22,79,Valid
Shanghai,PM2.5,2012/1/3 23:00,2012,1,3,23,85,Valid
Shanghai,PM2.5,2012/1/4 0:00,2012,1,4,0,97,Valid
Shanghai,PM2.5,2012/1/4 1:00,2012,1,4,1,85,Valid
Shanghai,PM2.5,2012/1/4 2:00,2012,1,4,2,81,Valid
Shanghai,PM2.5,2012/1/4 3:00,2012,1,4,3,105,Valid
Shanghai,PM2.5,2012/1/4 4:00,2012,1,4,4,111,Valid
Shanghai,PM2.5,2012/1/4 5:00,2012,1,4,5,105,Valid
Shanghai,PM2.5,2012/1/4 6:00,2012,1,4,6,93,Valid
Shanghai,PM2.5,2012/1/4 7:00,2012,1,4,7,88,Valid
Shanghai,PM2.5,2012/1/4 8:00,2012,1,4,8,88,Valid
Shanghai,PM2.5,2012/1/4 9:00,2012,1,4,9,87,Valid
Shanghai,PM2.5,2012/1/4 10:00,2012,1,4,10,75,Valid
Shanghai,PM2.5,2012/1/4 11:00,2012,1,4,11,55,Valid
Shanghai,PM2.5,2012/1/4 12:00,2012,1,4,12,44,Valid
Shanghai,PM2.5,2012/1/4 13:00,2012,1,4,13,46,Valid
Shanghai,PM2.5,2012/1/4 14:00,2012,1,4,14,47,Valid
Shanghai,PM2.5,2012/1/4 15:00,2012,1,4,15,54,Valid
Shanghai,PM2.5,2012/1/4 16:00,2012,1,4,16,47,Valid
Shanghai,PM2.5,2012/1/4 17:00,2012,1,4,17,52,Valid
Shanghai,PM2.5,2012/1/4 18:00,2012,1,4,18,54,Valid
Shanghai,PM2.5,2012/1/4 19:00,2012,1,4,19,58,Valid
Shanghai,PM2.5,2012/1/4 20:00,2012,1,4,20,55,Valid
Shanghai,PM2.5,2012/1/4 21:00,2012,1,4,21,64,Valid
Shanghai,PM2.5,2012/1/4 22:00,2012,1,4,22,64,Valid
Shanghai,PM2.5,2012/1/4 23:00,2012,1,4,23,49,Valid
Shanghai,PM2.5,2012/1/5 0:00,2012,1,5,0,53,Valid
Shanghai,PM2.5,2012/1/5 1:00,2012,1,5,1,51,Valid
Shanghai,PM2.5,2012/1/5 2:00,2012,1,5,2,39,Valid
Shanghai,PM2.5,2012/1/5 3:00,2012,1,5,3,38,Valid
Shanghai,PM2.5,2012/1/5 4:00,2012,1,5,4,38,Valid
Shanghai,PM2.5,2012/1/5 5:00,2012,1,5,5,36,Valid
Shanghai,PM2.5,2012/1/5 6:00,2012,1,5,6,38,Valid
Shanghai,PM2.5,2012/1/5 7:00,2012,1,5,7,46,Valid
Shanghai,PM2.5,2012/1/5 8:00,2012,1,5,8,50,Valid
Shanghai,PM2.5,2012/1/5 9:00,2012,1,5,9,49,Valid
Shanghai,PM2.5,2012/1/5 10:00,2012,1,5,10,49,Valid
Shanghai,PM2.5,2012/1/5 11:00,2012,1,5,11,-999,Valid
Shanghai,PM2.5,2012/1/5 12:00,2012,1,5,12,-999,Valid
Shanghai,PM2.5,2012/1/5 13:00,2012,1,5,13,50,Valid
Shanghai,PM2.5,2012/1/5 14:00,2012,1,5,14,50,Valid
Shanghai,PM2.5,2012/1/5 15:00,2012,1,5,15,59,Valid
Shanghai,PM2.5,2012/1/5 16:00,2012,1,5,16,60,Valid
Shanghai,PM2.5,2012/1/5 17:00,2012,1,5,17,71,Valid
Shanghai,PM2.5,2012/1/5 18:00,2012,1,5,18,84,Valid
Shanghai,PM2.5,2012/1/5 19:00,2012,1,5,19,72,Valid
Shanghai,PM2.5,2012/1/5 20:00,2012,1,5,20,64,Valid
Shanghai,PM2.5,2012/1/5 21:00,2012,1,5,21,50,Valid
Shanghai,PM2.5,2012/1/5 22:00,2012,1,5,22,48,Valid
Shanghai,PM2.5,2012/1/5 23:00,2012,1,5,23,45,Valid
Shanghai,PM2.5,2012/1/6 0:00,2012,1,6,0,49,Valid
Shanghai,PM2.5,2012/1/6 1:00,2012,1,6,1,52,Valid
Shanghai,PM2.5,2012/1/6 2:00,2012,1,6,2,53,Valid
Shanghai,PM2.5,2012/1/6 3:00,2012,1,6,3,50,Valid
Shanghai,PM2.5,2012/1/6 4:00,2012,1,6,4,57,Valid
Shanghai,PM2.5,2012/1/6 5:00,2012,1,6,5,56,Valid
Shanghai,PM2.5,2012/1/6 6:00,2012,1,6,6,56,Valid
Shanghai,PM2.5,2012/1/6 7:00,2012,1,6,7,58,Valid
Shanghai,PM2.5,2012/1/6 8:00,2012,1,6,8,43,Valid
Shanghai,PM2.5,2012/1/6 9:00,2012,1,6,9,42,Valid
Shanghai,PM2.5,2012/1/6 10:00,2012,1,6,10,41,Valid
Shanghai,PM2.5,2012/1/6 11:00,2012,1,6,11,34,Valid
Shanghai,PM2.5,2012/1/6 12:00,2012,1,6,12,43,Valid
Shanghai,PM2.5,2012/1/6 13:00,2012,1,6,13,42,Valid
Shanghai,PM2.5,2012/1/6 14:00,2012,1,6,14,31,Valid
Shanghai,PM2.5,2012/1/6 15:00,2012,1,6,15,35,Valid
Shanghai,PM2.5,2012/1/6 16:00,2012,1,6,16,29,Valid
Shanghai,PM2.5,2012/1/6 17:00,2012,1,6,17,31,Valid
Shanghai,PM2.5,2012/1/6 18:00,2012,1,6,18,34,Valid
Shanghai,PM2.5,2012/1/6 19:00,2012,1,6,19,39,Valid
Shanghai,PM2.5,2012/1/6 20:00,2012,1,6,20,39,Valid
Shanghai,PM2.5,2012/1/6 21:00,2012,1,6,21,44,Valid
Shanghai,PM2.5,2012/1/6 22:00,2012,1,6,22,41,Valid
Shanghai,PM2.5,2012/1/6 23:00,2012,1,6,23,44,Valid
Shanghai,PM2.5,2012/1/7 0:00,2012,1,7,0,46,Valid
Shanghai,PM2.5,2012/1/7 1:00,2012,1,7,1,52,Valid
Shanghai,PM2.5,2012/1/7 2:00,2012,1,7,2,52,Valid
Shanghai,PM2.5,2012/1/7 3:00,2012,1,7,3,53,Valid
Shanghai,PM2.5,2012/1/7 4:00,2012,1,7,4,43,Valid
Shanghai,PM2.5,2012/1/7 5:00,2012,1,7,5,47,Valid
Shanghai,PM2.5,2012/1/7 6:00,2012,1,7,6,56,Valid
Shanghai,PM2.5,2012/1/7 7:00,2012,1,7,7,57,Valid
Shanghai,PM2.5,2012/1/7 8:00,2012,1,7,8,65,Valid
Shanghai,PM2.5,2012/1/7 9:00,2012,1,7,9,69,Valid
Shanghai,PM2.5,2012/1/7 10:00,2012,1,7,10,57,Valid
Shanghai,PM2.5,2012/1/7 11:00,2012,1,7,11,33,Valid
Shanghai,PM2.5,2012/1/7 12:00,2012,1,7,12,27,Valid
Shanghai,PM2.5,2012/1/7 13:00,2012,1,7,13,27,Valid
Shanghai,PM2.5,2012/1/7 14:00,2012,1,7,14,22,Valid
Shanghai,PM2.5,2012/1/7 15:00,2012,1,7,15,26,Valid
Shanghai,PM2.5,2012/1/7 16:00,2012,1,7,16,27,Valid
Shanghai,PM2.5,2012/1/7 17:00,2012,1,7,17,27,Valid
Shanghai,PM2.5,2012/1/7 18:00,2012,1,7,18,37,Valid
Shanghai,PM2.5,2012/1/7 19:00,2012,1,7,19,33,Valid
Shanghai,PM2.5,2012/1/7 20:00,2012,1,7,20,43,Valid
Shanghai,PM2.5,2012/1/7 21:00,2012,1,7,21,33,Valid
Shanghai,PM2.5,2012/1/7 22:00,2012,1,7,22,32,Valid
Shanghai,PM2.5,2012/1/7 23:00,2012,1,7,23,25,Valid
Shanghai,PM2.5,2012/1/8 0:00,2012,1,8,0,26,Valid
Shanghai,PM2.5,2012/1/8 1:00,2012,1,8,1,24,Valid
Shanghai,PM2.5,2012/1/8 2:00,2012,1,8,2,15,Valid
Shanghai,PM2.5,2012/1/8 3:00,2012,1,8,3,16,Valid
Shanghai,PM2.5,2012/1/8 4:00,2012,1,8,4,15,Valid
Shanghai,PM2.5,2012/1/8 5:00,2012,1,8,5,14,Valid
Shanghai,PM2.5,2012/1/8 6:00,2012,1,8,6,16,Valid
Shanghai,PM2.5,2012/1/8 7:00,2012,1,8,7,21,Valid
Shanghai,PM2.5,2012/1/8 8:00,2012,1,8,8,26,Valid
Shanghai,PM2.5,2012/1/8 9:00,2012,1,8,9,24,Valid
Shanghai,PM2.5,2012/1/8 10:00,2012,1,8,10,22,Valid
Shanghai,PM2.5,2012/1/8 11:00,2012,1,8,11,24,Valid
Shanghai,PM2.5,2012/1/8 12:00,2012,1,8,12,26,Valid
Shanghai,PM2.5,2012/1/8 13:00,2012,1,8,13,27,Valid
Shanghai,PM2.5,2012/1/8 14:00,2012,1,8,14,26,Valid
Shanghai,PM2.5,2012/1/8 15:00,2012,1,8,15,30,Valid
Shanghai,PM2.5,2012/1/8 16:00,2012,1,8,16,27,Valid
Shanghai,PM2.5,2012/1/8 17:00,2012,1,8,17,35,Valid
Shanghai,PM2.5,2012/1/8 18:00,2012,1,8,18,42,Valid
Shanghai,PM2.5,2012/1/8 19:00,2012,1,8,19,40,Valid
Shanghai,PM2.5,2012/1/8 20:00,2012,1,8,20,37,Valid
Shanghai,PM2.5,2012/1/8 21:00,2012,1,8,21,39,Valid
Shanghai,PM2.5,2012/1/8 22:00,2012,1,8,22,44,Valid
Shanghai,PM2.5,2012/1/8 23:00,2012,1,8,23,43,Valid
Shanghai,PM2.5,2012/1/9 0:00,2012,1,9,0,43,Valid
Shanghai,PM2.5,2012/1/9 1:00,2012,1,9,1,42,Valid
Shanghai,PM2.5,2012/1/9 2:00,2012,1,9,2,32,Valid
Shanghai,PM2.5,2012/1/9 3:00,2012,1,9,3,32,Valid
Shanghai,PM2.5,2012/1/9 4:00,2012,1,9,4,36,Valid
Shanghai,PM2.5,2012/1/9 5:00,2012,1,9,5,41,Valid
Shanghai,PM2.5,2012/1/9 6:00,2012,1,9,6,44,Valid
Shanghai,PM2.5,2012/1/9 7:00,2012,1,9,7,41,Valid
Shanghai,PM2.5,2012/1/9 8:00,2012,1,9,8,52,Valid
Shanghai,PM2.5,2012/1/9 9:00,2012,1,9,9,41,Valid
Shanghai,PM2.5,2012/1/9 10:00,2012,1,9,10,38,Valid
Shanghai,PM2.5,2012/1/9 11:00,2012,1,9,11,43,Valid
Shanghai,PM2.5,2012/1/9 12:00,2012,1,9,12,48,Valid
Shanghai,PM2.5,2012/1/9 13:00,2012,1,9,13,46,Valid
Shanghai,PM2.5,2012/1/9 14:00,2012,1,9,14,49,Valid
Shanghai,PM2.5,2012/1/9 15:00,2012,1,9,15,57,Valid
Shanghai,PM2.5,2012/1/9 16:00,2012,1,9,16,54,Valid
Shanghai,PM2.5,2012/1/9 17:00,2012,1,9,17,56,Valid
Shanghai,PM2.5,2012/1/9 18:00,2012,1,9,18,56,Valid
Shanghai,PM2.5,2012/1/9 19:00,2012,1,9,19,58,Valid
Shanghai,PM2.5,2012/1/9 20:00,2012,1,9,20,56,Valid
Shanghai,PM2.5,2012/1/9 21:00,2012,1,9,21,75,Valid
Shanghai,PM2.5,2012/1/9 22:00,2012,1,9,22,75,Valid
Shanghai,PM2.5,2012/1/9 23:00,2012,1,9,23,77,Valid
Shanghai,PM2.5,2012/1/10 0:00,2012,1,10,0,84,Valid
Shanghai,PM2.5,2012/1/10 1:00,2012,1,10,1,93,Valid
Shanghai,PM2.5,2012/1/10 2:00,2012,1,10,2,92,Valid
Shanghai,PM2.5,2012/1/10 3:00,2012,1,10,3,93,Valid
Shanghai,PM2.5,2012/1/10 4:00,2012,1,10,4,98,Valid
Shanghai,PM2.5,2012/1/10 5:00,2012,1,10,5,105,Valid
Shanghai,PM2.5,2012/1/10 6:00,2012,1,10,6,96,Valid
Shanghai,PM2.5,2012/1/10 7:00,2012,1,10,7,83,Valid
Shanghai,PM2.5,2012/1/10 8:00,2012,1,10,8,80,Valid
Shanghai,PM2.5,2012/1/10 9:00,2012,1,10,9,75,Valid
