,Value
532,35.1
533,34.0
534,34.0
535,33.1
536,33.1
537,32.0
538,30.9
539,30.9
540,30.0
541,30.0
542,28.9
543,28.0
544,27.0
545,27.0
546,27.0
547,27.0
548,28.0
549,30.0
550,32.0
551,33.1
552,35.1
553,35.1
554,35.1
555,34.0
556,32.0
557,30.9
558,30.9
559,30.0
560,28.9
561,28.0
562,27.0
563,26.1
564,24.1
565,23.0
566,21.9
567,21.9
568,21.0
569,21.9
570,21.0
571,21.9
572,23.0
573,25.0
574,26.1
575,28.0
576,28.9
577,28.9
578,28.9
579,28.9
580,28.9
581,28.9
582,28.0
583,28.0
584,28.0
585,28.9
586,27.0
587,27.0
588,27.0
589,26.1
590,26.1
591,25.0
592,24.8
593,25.0
594,24.1
595,25.0
596,25.0
597,24.1
598,24.1
599,24.1
600,24.1
601,24.1
602,24.1
603,24.1
604,24.1
605,25.0
606,25.0
607,25.0
608,25.0
609,26.1
610,27.0
611,27.0
612,27.0
613,27.0
614,27.0
615,27.0
616,27.0
617,27.0
618,27.0
619,27.0
620,27.0
621,27.0
622,27.0
623,27.0
624,27.0
625,27.0
626,26.1
627,25.0
628,24.1
629,25.0
630,25.0
631,26.1
632,26.1
633,27.0
634,27.0
635,27.0
636,26.1
637,26.1
638,27.0
639,26.1
640,26.1
641,26.1
642,26.1
643,24.1
644,21.9
645,21.9
646,21.9
647,21.9
648,19.9
649,19.9
650,21.0
651,24.1
652,27.0
653,30.0
654,32.0
655,33.1
656,35.1
657,35.1
658,35.1
659,33.1
660,32.0
661,32.0
662,32.0
663,32.0
664,30.9
665,30.9
666,30.9
667,30.0
668,30.0
669,30.0
670,28.9
671,28.9
672,28.9
673,30.9
674,32.0
675,35.1
676,35.1
677,35.1
678,37.0
679,37.9
680,37.0
681,36.0
682,35.1
683,36.0
684,36.0
685,36.0
686,36.0
687,37.9
688,39.0
689,39.9
690,39.0
691,39.0
692,39.0
693,39.0
694,39.9
695,39.0
696,41.0
697,41.0
698,42.1
699,43.0
700,42.1
701,44.1
702,45.0
